year,number,omics layers
2005,0,>3-omics
2006,0,>3-omics
2007,0,>3-omics
2008,0,>3-omics
2009,0,>3-omics
2010,1,>3-omics
2011,1,>3-omics
2012,1,>3-omics
2013,9,>3-omics
2014,8,>3-omics
2015,9,>3-omics
2016,17,>3-omics
2017,26,>3-omics
2005,0,3-omics
2006,1,3-omics
2007,1,3-omics
2008,0,3-omics
2009,0,3-omics
2010,0,3-omics
2011,3,3-omics
2012,3,3-omics
2013,13,3-omics
2014,28,3-omics
2015,31,3-omics
2016,46,3-omics
2017,53,3-omics
2005,2,2-omics
2006,2,2-omics
2007,1,2-omics
2008,9,2-omics
2009,5,2-omics
2010,4,2-omics
2011,11,2-omics
2012,23,2-omics
2013,86,2-omics
2014,169,2-omics
2015,266,2-omics
2016,358,2-omics
2017,420,2-omics
2005,2,Total
2006,3,Total
2007,2,Total
2008,9,Total
2009,5,Total
2010,5,Total
2011,15,Total
2012,27,Total
2013,108,Total
2014,205,Total
2015,306,Total
2016,421,Total
2017,499,Total
